"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Country of Origin","Location of death","Information Source",Coordinates,"Migration route",URL,"UNSD Geographical Grouping","Source Quality"
2023.MMP0191,2023.MMP0191239,"North America","Thu, 03/30/2023 - 12:00",2023,March,2,,2,,,,2,"Northern America",Drowning,Canada,"Remains recovered from multiple points in St. Lawrence River near Akwesasne, Quebec, Canada - after departure from Cornwall Island, Ontario, Canada en route to U.S","Mohawk Council of Akwesasne, AP, CBC, Toronto Star","44.99574468, -74.679029",,"https://archive.ph/jLuhF, https://archive.ph/Wxi5g, https://archive.ph/SHOVP, https://archive.ph/6MaML, https://archive.ph/btZ8G","Northern America",5
2023.MMP0191,2023.MMP0191240,"North America","Thu, 03/30/2023 - 12:00",2023,March,4,,4,,2,2,,"Southern Asia",Drowning,India,"Remains recovered from multiple points in St. Lawrence River near Akwesasne, Quebec, Canada - after departure from Cornwall Island, Ontario, Canada en route to U.S","Mohawk Council of Akwesasne, AP, CBC, Toronto Star","44.99574468, -74.679029",,"https://archive.ph/jLuhF, https://archive.ph/Wxi5g, https://archive.ph/SHOVP, https://archive.ph/6MaML, https://archive.ph/btZ8G","Northern America",5
2023.MMP0192,2023.MMP0192,Mediterranean,"Sat, 04/01/2023 - 12:00",2023,April,,6,6,9,1,,2,"Northern Africa",Drowning,Algeria,"Cartagena, Spain - embarkation from Oran, Algeria on 22 Mar","Alarm Phone, CIPIMD","37.57647053, -0.98336","Western Mediterranean",https://archive.vn/4wz8G,Uncategorized,4
2023.MMP0194,2023.MMP0194,"North America","Wed, 03/29/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"La Paloma Ranch, Near US-57,Eagle Pass,Maverick County,Texas 78852,United States of America","Super Channel 12","28.96181707, -99.899813","US-Mexico border crossing",https://archive.ph/ZIHIo,"Northern America",1
2023.MMP0196,2023.MMP0196,Mediterranean,"Wed, 04/05/2023 - 12:00",2023,April,1,,1,,,,,Unknown,Drowning,Unknown,"Remains washed ashore at Ghanima (between Alauas and Al Khoms), Libya","IOM Libya via LRC","32.72354098, 14.054124","Central Mediterranean",,Uncategorized,4
2023.MMP0197,2023.MMP0197,Mediterranean,"Fri, 04/07/2023 - 12:00",2023,April,1,,1,,,,,Unknown,Drowning,Unknown,"Remains washed ashore at Tolmeitha (100KM NE Benghazi), Libya","IOM Libya via the Safety Authority","32.70830818, 20.939277","Central Mediterranean",,Uncategorized,5
2023.MMP0198,2023.MMP0198,Mediterranean,"Sun, 04/09/2023 - 12:00",2023,April,2,2,4,6,,,,"Northern Africa",Drowning,Egypt,"Off the coast of Musaid (600 KM East Benghazi), Libya","IOM Libya via LRC Tobruk and Al Abereen Foundation","31.70476985, 25.167202","Central Mediterranean",,Uncategorized,4
2023.MMP0199,2023.MMP0199,Mediterranean,"Fri, 04/07/2023 - 12:00",2023,April,,20,20,17,,,,Unknown,Drowning,Unknown,"Off North of Sfax, Tunisia","FTDES, Al Jazeera, France 24, Akhbar Alaan","34.74404636, 10.796606","Central Mediterranean","https://archive.vn/oiJYz, https://archive.vn/4VnDn, https://archive.vn/XyR4t, https://archive.vn/YiN0O",Uncategorized,4
2023.MMP0200,2023.MMP0200,Mediterranean,"Sat, 04/08/2023 - 12:00",2023,April,4,3,7,36,,,,"Sub-Saharan Africa",Drowning,Unknown,"Off Sfax, Tunisia","FTDES, Al Jazeera, France 24, Akhbar Alaan","34.74404636, 10.796606","Central Mediterranean","https://archive.vn/oiJYz, https://archive.vn/4VnDn, https://archive.vn/XyR4t, https://archive.vn/YiN0O",Uncategorized,4
2023.MMP0201,2023.MMP0201,Mediterranean,"Sun, 04/09/2023 - 12:00",2023,April,2,18,20,22,,2,,"Sub-Saharan Africa",Drowning,Unknown,"Unspecified location in Central Med, disembarkation in Lampedusa, Italy - Embarkation from Sfax, Tunisia","ResQship, IOM Italy, France 24, ANSA","35.414808, 12.396939","Central Mediterranean","https://archive.vn/KS2dh, https://archive.vn/ZtWO8, https://archive.vn/OIQaK",Uncategorized,4
2023.MMP0202,2023.MMP0202249,"Northern Africa","Sat, 04/08/2023 - 12:00",2023,April,3,,3,,1,1,1,"Sub-Saharan Africa",Drowning,Unknown,"Off Guelmim, Morocco","Hespress, Ya Biladi, Dakhla News","29.220188, -10.40739","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/4MyhT, https://archive.vn/15L7N, https://archive.vn/QTsBq",Uncategorized,3
2023.MMP0202,2023.MMP0202250,"Northern Africa","Sat, 04/08/2023 - 12:00",2023,April,8,,8,1,1,7,,"Northern Africa",Drowning,Morocco,"Off Guelmim, Morocco","Hespress, Ya Biladi, Dakhla News","29.220188, -10.40739","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/4MyhT, https://archive.vn/15L7N, https://archive.vn/QTsBq",Uncategorized,3
2023.MMP0203,2023.MMP0203,Europe,"Fri, 04/07/2023 - 12:00",2023,April,1,,1,,,1,,"Southern Asia","Harsh environmental conditions / lack of adequate shelter, food, water",India,"On the Dysna river, Ignalina, Lithuania","Lithuanian State Border Guard Service, Belarus Border Committee, LRT","55.45041386, 26.33321","Belarus-EU border","https://archive.vn/hMK3g, https://archive.vn/WzgOQ, https://web.archive.org/web/20230901125154/https://www.lrt.lt/en/news-in-english/19/2064173/probe-finds-indian-national-died-of-hypothermia-on-lithuania-belarus-border","Eastern Europe",5
2023.MMP0204,2023.MMP0204,Mediterranean,"Tue, 04/11/2023 - 12:00",2023,April,32,,32,72,7,,,"Sub-Saharan Africa",Drowning,Unknown,"Off La Louata, Sfax, Tunisia","Garde Nationale Tunisienne, Euro News, InfoMigrants","35.05559404, 11.065236","Central Mediterranean","https://archive.vn/x5YqC, https://archive.vn/VWNMo, https://archive.vn/stauC",Uncategorized,5
2023.MMP0205,2023.MMP0205,"Central America","Mon, 04/03/2023 - 12:00",2023,April,1,,1,,,,1,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near Morelos Colony, Piedras Negras, Coahuila ,Mexico","El Tiempo de Monclova","28.68318597, -100.508467","US-Mexico border crossing",https://archive.ph/Lph8h,"Central America",1
2023.MMP0206,2023.MMP0206,"Central America","Wed, 04/05/2023 - 12:00",2023,April,1,,1,1,,1,,"Central America",Drowning,Honduras,"Rio Bravo near Morelos Colony, Piedras Negras, Coahuila ,Mexico","INM,El Heraldo Honduras,Vanguardia,Zócalo","28.68239996, -100.508049","US-Mexico border crossing","https://archive.ph/4GV4z, https://archive.ph/U0fTY, https://archive.ph/mIUkI, https://archive.ph/pQTmN","Central America",5
2023.MMP0207,2023.MMP0207,"Central America","Wed, 04/05/2023 - 12:00",2023,April,2,,2,1,,,2,"Central America","Vehicle accident / death linked to hazardous transport",Guatemala,"Near Juan Pablo II Boulevard, Ciudad Juarez, Chihuahua, Mexico","MINEX Guatemala, Prensa Libre Guatemala, Guatevision, El Heraldo de Chihuahua","31.71184656, -106.373511","US-Mexico border crossing","https://archive.ph/vDxx1, https://archive.ph/8f7YD, https://archive.ph/2J5QO, https://archive.ph/5qR0U","Central America",5
2023.MMP0208,2023.MMP0208,"Central America","Fri, 04/07/2023 - 12:00",2023,April,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near Guerrero, Coahuila, Mexico","Zócalo, Super Channel 12","28.33119466, -100.302961","US-Mexico border crossing","https://archive.ph/7EFPV, https://archive.ph/Y0EF1","Central America",3
2023.MMP0209,2023.MMP0209,"Central America","Sat, 04/08/2023 - 12:00",2023,April,1,,1,,,1,,"Central America",Drowning,Honduras,"Approximately 8 kilometers from the beach of Coatzacoalcos, Veracruz, Mexico","El Heraldo Honduras, COFAMIPRO","18.15065801, -94.465188",,"https://archive.ph/QmDv7, https://archive.ph/m2HMs","Central America",4
2023.MMP0210,2023.MMP0210,"Central America","Fri, 04/07/2023 - 12:00",2023,April,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near El Patinadero, Colonia Viveros, Nuevo Laredo, Tamaulipas, México","El Mañana, Zócalo","27.47852845, -99.479864","US-Mexico border crossing","https://archive.ph/jBZF1, https://archive.ph/lHjHp","Central America",3
2023.MMP0211,2023.MMP0211,"Central America","Thu, 04/06/2023 - 12:00",2023,April,1,,1,,,1,,Caribbean,Violence,Haiti,"Colonia La Libertad, Tijuana, Baja California, Mexico","La Jornada, Wilner Metelus(Presidente del Comité Ciudadano en defensa de los Naturalizados y Afromexicanos )","32.5446886, -117.001332","US-Mexico border crossing","https://archive.ph/QQGeA, https://archive.ph/AIJ5x","Central America",3
2023.MMP0212,2023.MMP0212,Mediterranean,"Wed, 04/12/2023 - 12:00",2023,April,1,,1,,,,,Unknown,Drowning,Unknown,"Remains retreived from the coast of Kirissah (23 KM West Dernah), Libya","LRC Derna via IOM Libya","32.8499379, 22.424469","Central Mediterranean",,Uncategorized,4
2023.MMP0213,2023.MMP0213,Mediterranean,"Wed, 04/12/2023 - 12:00",2023,April,1,,1,,,1,,Unknown,Drowning,Unknown,"Remains washed ashore near Bab Albahr hotel, Tripoli, Libya","LRC via IOM Libya","32.89398375, 13.163311","Central Mediterranean",,Uncategorized,4
2023.MMP0214,2023.MMP0214,Europe,"Sun, 04/16/2023 - 12:00",2023,April,4,,4,6,,,1,"Western Asia","Vehicle accident / death linked to hazardous transport","Syrian Arab Republic","On Egnatia Highway, near the city of Alexandroupolis, Greece","Associated Press, Kathimerini","40.88026438, 25.877499","Türkiye-Europe land route","https://archive.ph/LDnWP, https://archive.ph/ZsQNE","Southern Europe",2
2023.MMP0215,2023.MMP0215,Europe,"Sun, 04/09/2023 - 12:00",2023,April,1,,1,,,1,,"Southern Asia","Vehicle accident / death linked to hazardous transport",Afghanistan,"On train tracks close to Sid, Serbia at the border with Croatia","IOM Serbia","45.13348146, 19.190901","Western Balkans",,"Southern Europe",4
2023.MMP0216,2023.MMP0216,Europe,"Thu, 03/09/2023 - 12:00",2023,March,1,,1,,,,,"Western Asia",Violence,"Palestinian Territories","In the vicinity of Sremska Mitrovica, Serbia - about 35km from the border with Croatia","IOM Serbia","44.98279529, 19.641483","Western Balkans",,"Southern Europe",4
2023.MMP0217,2023.MMP0217,Europe,"Tue, 04/18/2023 - 12:00",2023,April,1,,1,,,1,,Unknown,"Mixed or unknown",Unknown,"In the vicinity of Janowo, Poland","IOM Poland","53.31423248, 20.693288","Belarus-EU border",,"Eastern Europe",4
2023.MMP0218,2023.MMP0218,"North America","Sun, 01/08/2023 - 12:00",2023,January,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.00007, -111.3269","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0219,2023.MMP0219,"North America","Wed, 01/18/2023 - 12:00",2023,January,1,,1,,,1,,"Central America",Violence,Mexico,"4904 West International Road, Cochise County, Arizona, USA","Pima County Office of the Medical Examiner (PCOME)","31.33550011, -110.293348","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0220,2023.MMP0220,"North America","Wed, 01/18/2023 - 12:00",2023,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.35981, -113.11644","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0221,2023.MMP0221,"North America","Fri, 01/20/2023 - 12:00",2023,January,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location) - Estimated year of death 2021-2022","Pima County Office of the Medical Examiner (PCOME)","31.76682, -111.0998","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0222,2023.MMP0222,"North America","Mon, 01/30/2023 - 12:00",2023,January,1,,1,,,1,,"Central America",Violence,Mexico,"100 Willow Cross Circle, Santa Cruz County, Arizona, USA","Pima County Office of the Medical Examiner (PCOME)","31.3505372, -110.802624","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0223,2023.MMP0223,"North America","Sun, 02/05/2023 - 12:00",2023,February,1,,1,,,1,,"Central America",Violence,Guatemala,"Cochise County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.280741, -109.829958","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0224,2023.MMP0224,"North America","Sun, 02/05/2023 - 12:00",2023,February,1,,1,,,1,,"Central America",Violence,Guatemala,"Cochise County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.280741, -109.829958","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0225,2023.MMP0225,"North America","Sun, 02/05/2023 - 12:00",2023,February,1,,1,,,1,,"Central America",Violence,Guatemala,"Cochise County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.280741, -109.829958","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0226,2023.MMP0226,"North America","Mon, 02/06/2023 - 12:00",2023,February,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.898825, -111.146407","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0227,2023.MMP0227,"North America","Tue, 02/07/2023 - 12:00",2023,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.41946, -111.69153","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0228,2023.MMP0228,"North America","Wed, 02/08/2023 - 12:00",2023,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Cochise County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.38842, -109.75703","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0229,2023.MMP0229,"North America","Wed, 02/08/2023 - 12:00",2023,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.02348, -112.96187","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0230,2023.MMP0230,"North America","Fri, 02/10/2023 - 12:00",2023,February,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location) - Estimated year of death 2020-2021","Pima County Office of the Medical Examiner (PCOME)","31.86746, -110.88667","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0231,2023.MMP0231,"North America","Sun, 02/12/2023 - 12:00",2023,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.91034, -111.78593","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0232,2023.MMP0232,"North America","Mon, 02/13/2023 - 12:00",2023,February,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Santa Cruz County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.49456, -110.77412","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0233,2023.MMP0233,"North America","Thu, 02/16/2023 - 12:00",2023,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.897861, -111.390506","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0234,2023.MMP0234,"North America","Sat, 02/18/2023 - 12:00",2023,February,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Santa Cruz County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.69235, -110.87656","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0235,2023.MMP0235,"North America","Sat, 02/18/2023 - 12:00",2023,February,1,,1,,1,,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Santa Cruz County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.69421, -110.87716","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0236,2023.MMP0236,"North America","Fri, 02/24/2023 - 12:00",2023,February,1,,1,,,1,,"Central America",Violence,Mexico,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.993, -110.176","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0237,2023.MMP0237,"North America","Sat, 02/25/2023 - 12:00",2023,February,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Honduras,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.08369, -111.02767","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0238,2023.MMP0238,"North America","Wed, 03/01/2023 - 12:00",2023,March,1,,1,,1,,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Guatemala,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.7012, -111.624","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0239,2023.MMP0239,"North America","Thu, 03/02/2023 - 12:00",2023,March,1,,1,,,1,,"Central America",Violence,Guatemala,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.01308408, -111.992132","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0240,2023.MMP0240,"North America","Fri, 03/03/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.2089, -111.18503","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0241,2023.MMP0241,"North America","Fri, 03/03/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location) - Estimated year of death 2021-2022","Pima County Office of the Medical Examiner (PCOME)","31.59236, -111.36519","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0242,2023.MMP0242,"North America","Wed, 03/08/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.960493, -112.133909","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0243,2023.MMP0243,"North America","Wed, 03/08/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.992774, -112.123053","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0244,2023.MMP0244,"North America","Mon, 03/13/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.31692, -113.14223","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0245,2023.MMP0245,"North America","Tue, 03/14/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.19323, -112.8705","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0246,2023.MMP0246,"North America","Sat, 03/18/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.163554, -112.93559","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0247,2023.MMP0247,"North America","Wed, 03/22/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.783223, -111.624052","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0248,2023.MMP0248,"North America","Tue, 03/28/2023 - 12:00",2023,March,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Santa Cruz County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location) - Estimated year of death 2019-2021","Pima County Office of the Medical Examiner (PCOME)","31.64694, -111.00583","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0249,2023.MMP0249,"North America","Wed, 03/29/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.93013, -111.91537","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0250,2023.MMP0250,"North America","Wed, 03/29/2023 - 12:00",2023,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.363, -111.6278","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0251,2023.MMP0251,Mediterranean,"Tue, 04/18/2023 - 12:00",2023,April,,15,15,4,2,1,2,"Northern Africa",Drowning,Tunisia,"Approximately 21 miles from Port de Kraten, Kerkennah Islands, Tunisia - departure on the night of 17 April","Official spokesperson of the Tunisian National Guard via Facebook and ERTT, Euronews","34.99923876, 11.325756","Central Mediterranean","https://www.facebook.com/permalink.php?story_fbid=pfbid0HPp26zXrL4fRv5JLDrQBeLxRQTCuVpxmA3ttBxJYUioqWhwttwaxWbSjYxVhmNerl&id=526474747861290, https://www.youtube.com/watch?v=Udn5l0F0jL8&ab_channel=WataniaReplay, https://archive.ph/OZbjv",Uncategorized,5
2023.MMP0252,2023.MMP0252,Europe,"Mon, 03/13/2023 - 12:00",2023,March,1,,1,,,1,,"Southern Asia",Violence,Afghanistan,"Around the old Viscose factory in Loznica, Serbia - at the border with Bosnia and Herzegovina",Kurir.rs,"44.5317838, 19.220564","Western Balkans",https://archive.ph/NvGIv,"Southern Europe",1
2023.MMP0253,2023.MMP0253,"Central America","Wed, 04/12/2023 - 12:00",2023,April,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near Ejido El Centinela, Piedras Negras, Coahuila, Mexico","Zócalo, Super Channel 12","28.79750095, -100.534466","US-Mexico border crossing","https://archive.ph/Qrbxo, https://archive.ph/5LaLs","Central America",3
2023.MMP0254,2023.MMP0254,"Central America","Wed, 04/12/2023 - 12:00",2023,April,1,,1,,,1,,"South America",Drowning,Ecuador,"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril), Piedras Negras, Coahuila, Mexico","Zócalo, Super Channel 12","28.69608883, -100.511006","US-Mexico border crossing","https://archive.ph/ywucT, https://archive.ph/U1PAa","Central America",3
2023.MMP0255,2023.MMP0255,"North America","Fri, 01/27/2023 - 12:00",2023,January,1,,1,,,1,,"Central America","Accidental death",Mexico,"Approximately 3.5 miles west of the San Ysidro Port of Entry, San Diego County, California, United States of America","US Border Patrol, The San Diego Union Tribune","32.54129133, -117.047415","US-Mexico border crossing","https://archive.ph/KVXE5, https://archive.ph/Ua1gd","Northern America",5
2023.MMP0256,2023.MMP0256,"North America","Fri, 04/14/2023 - 12:00",2023,April,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near Kickapoo Lucky Eagle Casino Hotel, Rosita, Maverick County, Texas, United States of America","Super Channel 12","28.60852075, -100.444257","US-Mexico border crossing",https://archive.ph/Q6h9X,"Northern America",1
2023.MMP0257,2023.MMP0257,"Central America","Thu, 04/13/2023 - 12:00",2023,April,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near Southeastern wastewater treatment plant in Nuevo Laredo, Tamaulipas, Mexico","El Mañana","27.42039536, -99.490932","US-Mexico border crossing",https://archive.ph/62WoI,"Central America",1
2023.MMP0258,2023.MMP0258,"North America","Sun, 04/16/2023 - 12:00",2023,April,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near Riverside Drive, Rosita, Maverick County, Eagle Pass, Texas, United States of America",Zócalo,"28.6186814, -100.444981","US-Mexico border crossing",https://archive.ph/6PLn3,"Northern America",1
2023.MMP0259,2023.MMP0259,Europe,"Wed, 04/19/2023 - 12:00",2023,April,1,,1,,1,,,"Western Africa",Violence,"Sierra Leone","In Gevgelija, North Macedonia at the border with Greece","IOM North Macedonia, Associated Press, spokesperson from the Sector for Internal Affairs in Strumica via MIA-MK, MKD-MK","41.14856623, 22.512789","Western Balkans","https://archive.ph/qF6sb, https://archive.ph/Gsvqd, https://archive.ph/mDWc2, https://www.instagram.com/p/CrbBKNQsNny/","Southern Europe",5
2023.MMP0260,2023.MMP0260,Europe,"Mon, 04/10/2023 - 12:00",2023,April,1,,1,,,1,,"Sub-Saharan Africa (P)","Mixed or unknown",Unknown,"Unspecified location at the Poland-Belarus border on the Belarusian side","Belarusian State Border Committee","52.84605251, 23.998934","Belarus-EU border",https://archive.ph/GvlgH,"Eastern Europe",5
